instance,node_id,current_time,depth,remaining_size,lb_par,lb_pos,opt_remaining,tightness_par,tightness_pos
tf0.6_rdd0.3_seed3,1187,168.575576,19,1,105.390376,105.390376,105.39079999999998,0.9999959768784373,0.9999959768784373
tf0.6_rdd0.3_seed3,1196,97.88312799999999,13,7,368.4891439999999,450.018472,527.270344,0.6988618802350087,0.8534871667275108
tf0.6_rdd0.3_seed3,1197,119.06578399999998,14,6,432.51929599999994,480.62403199999983,532.0776880000001,0.8128874894675153,0.903296723090557
tf0.6_rdd0.3_seed3,1198,148.92871199999996,16,4,413.47651199999984,430.3344639999999,451.62753599999996,0.9155254696427542,0.9528525824873529
tf0.6_rdd0.3_seed3,1199,181.04471199999995,19,1,111.29037599999995,111.29037599999995,111.29066399999999,0.9999974121818517,0.9999974121818517
tf0.6_rdd0.3_seed3,1208,114.317072,13,7,480.292808,536.007384,610.632904,0.7865491768520878,0.8777898807758974
tf0.6_rdd0.3_seed3,1209,126.546672,14,6,502.123736,535.847664,590.14636,0.8508461121407239,0.9079911363004934
tf0.6_rdd0.3_seed3,1210,133.821352,16,4,369.45443199999994,388.43087999999995,425.44708,0.8683910393743915,0.9129945844263402
tf0.6_rdd0.3_seed3,1211,155.004008,17,3,333.99839199999997,340.788472,359.388368,0.929352259948491,0.9482456928043926
tf0.6_rdd0.3_seed3,1218,86.73066879999999,13,7,226.47438879999987,312.3963247999999,403.06663519999995,0.5618782827003883,0.7750488319257439
tf0.6_rdd0.3_seed3,1219,116.57321759999999,15,5,330.88324639999996,380.5793871999999,422.90615840000004,0.7824034713796685,0.8999145073693491
tf0.6_rdd0.3_seed3,1220,146.43614559999997,17,3,286.96266719999994,310.5799055999999,310.66023040000005,0.9237187097637584,0.999741438420049
tf0.6_rdd0.3_seed3,1221,167.61880159999998,18,2,217.70917759999998,224.85484159999996,224.9355744,0.967873481910205,0.9996410847852084
tf0.6_rdd0.3_seed3,1222,174.844712,19,1,105.09037599999999,105.09037599999999,105.090664,0.9999972595091795,0.9999972595091795
tf0.6_rdd0.3_seed3,1230,110.87141119999998,13,7,365.71884319999987,433.09574719999995,480.13287360000004,0.7617034019309438,0.9020331058623017
tf0.6_rdd0.3_seed3,1231,145.29109119999998,16,4,332.76364959999995,352.88458719999994,361.9543136,0.9193526284859835,0.97494234476779
tf0.6_rdd0.3_seed3,1232,166.4737472,17,3,285.8378704,291.1421792,296.0126576,0.9656271887746464,0.9835463846732477
tf0.6_rdd0.3_seed3,1233,179.3206272,19,1,99.490376,99.490376,99.4907488,0.9999962529179396,0.9999962529179396
tf0.6_rdd0.3_seed3,1242,141.4244448,14,6,460.81260000000003,519.1414016000001,558.590352,0.8249562462904837,0.9293776731754222
