# experiment: ht1_3-20_0.3_0.6_1  M=4  mode=mix  (MILP / Gurobi)
# config: sym_break=1 threads=0 ; TL=3600s traceint=10s
# date: 2026-06-30T14:17:50  wall=1963.6s
# model: 1960 vars, 3639 constrs
# columns of TRACE lines: t(s) ub lb gap(%) nodes
#======================================================================

TRACE t=1483.1 ub=26.1666 lb=21.9938 gap=15.95 nodes=491895
TRACE t=1493.4 ub=26.1666 lb=21.9938 gap=15.95 nodes=496436
TRACE t=1503.8 ub=26.1666 lb=21.9938 gap=15.95 nodes=504507
TRACE t=1514.5 ub=26.1666 lb=21.9938 gap=15.95 nodes=510825
TRACE t=1525.3 ub=26.1666 lb=21.9938 gap=15.95 nodes=516572
TRACE t=1537.6 ub=26.1666 lb=21.9938 gap=15.95 nodes=524889
TRACE t=1548.8 ub=26.1666 lb=21.9938 gap=15.95 nodes=530784
TRACE t=1558.9 ub=26.1666 lb=21.9938 gap=15.95 nodes=536994
TRACE t=1574.1 ub=26.1666 lb=21.9938 gap=15.95 nodes=541600
TRACE t=1584.4 ub=26.1666 lb=21.9938 gap=15.95 nodes=550649
TRACE t=1595.9 ub=26.1666 lb=21.9938 gap=15.95 nodes=556961
TRACE t=1608.8 ub=26.1666 lb=21.9938 gap=15.95 nodes=565145
TRACE t=1620.1 ub=26.1666 lb=21.9938 gap=15.95 nodes=575397
TRACE t=1631.4 ub=26.1666 lb=21.9938 gap=15.95 nodes=580384
TRACE t=1644.4 ub=26.1666 lb=21.9938 gap=15.95 nodes=587459
TRACE t=1654.8 ub=26.1666 lb=21.9938 gap=15.95 nodes=592384
TRACE t=1667.2 ub=26.1666 lb=21.9938 gap=15.95 nodes=601462
TRACE t=1679.9 ub=26.1666 lb=21.9938 gap=15.95 nodes=608064
TRACE t=1693.5 ub=26.1666 lb=21.9938 gap=15.95 nodes=614003
TRACE t=1705.0 ub=26.1666 lb=21.9938 gap=15.95 nodes=618868
TRACE t=1717.5 ub=26.1666 lb=21.9939 gap=15.95 nodes=625358
TRACE t=1730.4 ub=26.1666 lb=21.9945 gap=15.94 nodes=630256
TRACE t=1743.9 ub=26.1666 lb=22.0371 gap=15.78 nodes=637040
TRACE t=1756.1 ub=26.1666 lb=22.2468 gap=14.98 nodes=643716
TRACE t=1768.5 ub=26.1666 lb=22.3441 gap=14.61 nodes=649366
TRACE t=1782.0 ub=26.1666 lb=22.6635 gap=13.39 nodes=655634
TRACE t=1793.1 ub=26.1666 lb=23.2234 gap=11.25 nodes=664050
TRACE t=1804.3 ub=26.1666 lb=23.2234 gap=11.25 nodes=669238
TRACE t=1815.3 ub=26.1666 lb=23.7911 gap=9.08 nodes=676621
TRACE t=1826.4 ub=26.1666 lb=23.9938 gap=8.30 nodes=681475
TRACE t=1838.5 ub=26.1666 lb=23.9938 gap=8.30 nodes=686801
TRACE t=1851.5 ub=26.1666 lb=23.9938 gap=8.30 nodes=695700
TRACE t=1865.4 ub=26.1666 lb=23.9938 gap=8.30 nodes=702452
TRACE t=1877.4 ub=26.1666 lb=23.9938 gap=8.30 nodes=711083
TRACE t=1889.9 ub=26.1666 lb=23.9938 gap=8.30 nodes=718291
TRACE t=1906.4 ub=26.1666 lb=23.9938 gap=8.30 nodes=725793
TRACE t=1919.0 ub=26.1666 lb=23.9938 gap=8.30 nodes=733774
TRACE t=1932.2 ub=26.1666 lb=23.9939 gap=8.30 nodes=741981
TRACE t=1942.8 ub=26.1666 lb=24.033 gap=8.15 nodes=748185
TRACE t=1953.2 ub=26.1666 lb=24.7857 gap=5.28 nodes=753851
TRACE t=1963.2 ub=26.1666 lb=25.9938 gap=0.66 nodes=761808

RESULT instance=ht1_3-20_0.3_0.6_1 n=20 M=4 mode=mix TT=26.1666 optimal=1 lb=26.1666 gap=0.0000 time=1963.3076 nodes=761921 status=OPTIMAL
