instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr,fam,TF,RDD,solved,timeout,t,nontrivial
ht1_3-20_0.6_0.6_3,20,2,pbatch,OPTIMAL,102.5356,102.5356,0.0,17.39,14038,1040,1839,ht1,0.6,0.6,True,False,17.39,True
ht1_3-20_0.6_0.6_3,20,2,mix,TIME_LIMIT,239.3692,108.3922,54.72,3600.19,2530445,1000,1839,ht1,0.6,0.6,False,True,3600.0,True
ht1_3-20_0.6_0.6_3,20,3,pbatch,OPTIMAL,84.0047,84.0047,0.0,23.77,6895,1540,2739,ht1,0.6,0.6,True,False,23.77,True
ht1_3-20_0.6_0.6_3,20,3,mix,TIME_LIMIT,162.196,89.3287,44.93,3600.38,1649307,1480,2739,ht1,0.6,0.6,False,True,3600.0,True
ht1_3-20_0.6_0.6_3,20,4,pbatch,OPTIMAL,75.7369,75.7369,0.0,20.45,18381,2040,3639,ht1,0.6,0.6,True,False,20.45,True
ht1_3-20_0.6_0.6_3,20,4,mix,TIME_LIMIT,124.456,75.3023,39.49,3600.63,1878376,1960,3639,ht1,0.6,0.6,False,True,3600.0,True
ht2_2-25_0.3_0.3_1,25,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.73,1,1550,2799,ht2,0.3,0.3,True,False,0.73,False
ht2_2-25_0.3_0.3_1,25,2,mix,TIME_LIMIT,87.6925,0.3518,99.6,3600.38,1474250,1500,2799,ht2,0.3,0.3,False,True,3600.0,True
ht2_2-25_0.3_0.3_1,25,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.15,1,2300,4174,ht2,0.3,0.3,True,False,0.15,False
ht2_2-25_0.3_0.3_1,25,3,mix,TIME_LIMIT,7.8043,0.0,100.0,3600.21,1467451,2225,4174,ht2,0.3,0.3,False,True,3600.0,True
ht2_2-25_0.3_0.3_1,25,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.18,1,3050,5549,ht2,0.3,0.3,True,False,0.18,False
ht2_2-25_0.3_0.3_1,25,4,mix,OPTIMAL,0.0,0.0,0.0,0.92,1,2950,5549,ht2,0.3,0.3,True,False,0.92,False
ht2_2-25_0.3_0.6_1,25,2,pbatch,OPTIMAL,1.3518,1.3518,0.0,0.24,1,1550,2799,ht2,0.3,0.6,True,False,0.24,True
ht2_2-25_0.3_0.6_1,25,2,mix,TIME_LIMIT,90.6761,1.3518,98.51,3600.19,1218135,1500,2799,ht2,0.3,0.6,False,True,3600.0,True
ht2_2-25_0.3_0.6_1,25,3,pbatch,OPTIMAL,1.3518,1.3518,0.0,1.02,1,2300,4174,ht2,0.3,0.6,True,False,1.02,True
ht2_2-25_0.3_0.6_1,25,3,mix,TIME_LIMIT,7.9805,2.893,63.75,3600.27,1424243,2225,4174,ht2,0.3,0.6,False,True,3600.0,True
ht2_2-25_0.3_0.6_1,25,4,pbatch,OPTIMAL,1.3518,1.3518,0.0,2.05,1,3050,5549,ht2,0.3,0.6,True,False,2.05,True
ht2_2-25_0.3_0.6_1,25,4,mix,OPTIMAL,1.3518,1.3518,0.0,11.58,2790,2950,5549,ht2,0.3,0.6,True,False,11.58,True
ht2_2-25_0.6_0.3_3,25,2,pbatch,OPTIMAL,24.8394,24.8394,0.0,13.69,9859,1550,2799,ht2,0.6,0.3,True,False,13.69,True
ht2_2-25_0.6_0.3_3,25,2,mix,TIME_LIMIT,278.2328,24.897,91.05,3600.4,1542563,1500,2799,ht2,0.6,0.3,False,True,3600.0,True
ht2_2-25_0.6_0.3_3,25,3,pbatch,OPTIMAL,8.3997,8.3997,0.0,3.76,1,2300,4174,ht2,0.6,0.3,True,False,3.76,True
ht2_2-25_0.6_0.3_3,25,3,mix,TIME_LIMIT,157.8523,19.8979,87.39,3600.4,1592428,2225,4174,ht2,0.6,0.3,False,True,3600.0,True
ht2_2-25_0.6_0.3_3,25,4,pbatch,OPTIMAL,7.5517,7.5517,0.0,2.46,1,3050,5549,ht2,0.6,0.3,True,False,2.46,True
ht2_2-25_0.6_0.3_3,25,4,mix,TIME_LIMIT,95.6401,9.317,90.26,3602.28,991730,2950,5549,ht2,0.6,0.3,False,True,3600.0,True
ht2_2-25_0.6_0.6_3,25,2,pbatch,OPTIMAL,35.5638,35.5638,0.0,15.65,8114,1550,2799,ht2,0.6,0.6,True,False,15.65,True
ht2_2-25_0.6_0.6_3,25,2,mix,TIME_LIMIT,282.0093,51.1968,81.85,3600.36,2914437,1500,2799,ht2,0.6,0.6,False,True,3600.0,True
