cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
30,min,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0291277,2698,OPT
31,min,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0287305,2748,OPT
32,min,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0291685,2748,OPT
33,min,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0288264,2698,OPT
34,min,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0294895,2748,OPT
35,min,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0291537,2748,OPT
36,min,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0292714,2698,OPT
37,min,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0291078,2748,OPT
38,min,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0293176,2748,OPT
39,min,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296118,2698,OPT
40,min,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0289923,2748,OPT
41,min,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0290846,2748,OPT
42,min,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0294782,2698,OPT
43,min,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0288137,2748,OPT
44,min,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0290961,2748,OPT
45,min,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0295625,2698,OPT
46,min,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0292695,2748,OPT
47,min,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296121,2748,OPT
48,min,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296599,2698,OPT
49,min,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.031464,2748,OPT
50,min,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0310104,2748,OPT
51,min,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0315032,2698,OPT
52,min,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0312105,2748,OPT
53,min,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0312682,2748,OPT
